Word,Count
thy,932
said,625
thus,594
one,529
shall,488
arms,439
hector,433
er,428
jove,411
like,411
could,405
great,405
would,374
avatar,369
achilles,366
war,349
oasis,347
aech,342
thou,340
troy,338
halliday,318
right,316
artsmis,314
time,306
first,293
Sum,10472
